IPCA - variação % - Mediana - Mensal - Período de 01/01/2009 a 31/12/2010 para jan/2009 a dez/2011
Data;jan/2009;fev/2009;mar/2009;abr/2009;mai/2009;jun/2009;jul/2009;ago/2009;set/2009;out/2009;nov/2009;dez/2009;jan/2010;fev/2010;mar/2010;abr/2010;mai/2010;jun/2010;jul/2010;ago/2010;set/2010;out/2010;nov/2010;dez/2010;jan/2011;fev/2011;mar/2011;abr/2011;mai/2011;jun/2011;jul/2011;ago/2011;set/2011;out/2011;nov/2011;dez/2011;
02/01/2009;0,42;0,53;0,41;0,40;0,39;0,34;0,42;0,40;0,35;0,36;0,40;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/01/2009;0,42;0,53;0,41;0,40;0,39;0,34;0,40;0,40;0,35;0,36;0,40;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/01/2009;0,41;0,53;0,41;0,40;0,39;0,33;0,41;0,40;0,35;0,36;0,40;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
07/01/2009;0,41;0,53;0,40;0,40;0,39;0,33;0,41;0,40;0,35;0,36;0,40;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
08/01/2009;0,40;0,52;0,40;0,40;0,39;0,32;0,41;0,40;0,35;0,36;0,40;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/01/2009;0,40;0,51;0,40;0,40;0,37;0,31;0,43;0,39;0,35;0,36;0,40;0,45;0,45;0,42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/01/2009;0,40;0,51;0,40;0,40;0,38;0,31;0,43;0,39;0,35;0,35;0,40;0,45;0,45;0,44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/01/2009;0,40;0,51;0,40;0,40;0,38;0,32;0,45;0,40;0,35;0,35;0,40;0,45;0,45;0,44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
14/01/2009;0,40;0,52;0,40;0,40;0,37;0,32;0,45;0,40;0,35;0,35;0,40;0,45;0,45;0,42; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
15/01/2009;0,40;0,52;0,40;0,40;0,36;0,31;0,44;0,40;0,35;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/01/2009;0,40;0,51;0,40;0,40;0,36;0,31;0,44;0,39;0,34;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/01/2009;0,38;0,51;0,40;0,39;0,35;0,31;0,45;0,38;0,33;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
20/01/2009;0,37;0,50;0,39;0,38;0,35;0,31;0,44;0,39;0,35;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
21/01/2009;0,36;0,50;0,39;0,38;0,35;0,30;0,43;0,39;0,32;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
22/01/2009;0,35;0,50;0,38;0,37;0,35;0,30;0,43;0,40;0,32;0,36;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
23/01/2009;0,35;0,50;0,38;0,36;0,35;0,30;0,43;0,40;0,32;0,35;0,40;0,45;0,45;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
26/01/2009;0,36;0,50;0,38;0,37;0,35;0,30;0,43;0,38;0,32;0,36;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
27/01/2009;0,36;0,51;0,38;0,36;0,35;0,30;0,43;0,38;0,32;0,36;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
28/01/2009;0,36;0,51;0,38;0,36;0,35;0,30;0,43;0,38;0,32;0,36;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
29/01/2009;0,37;0,53;0,37;0,36;0,35;0,30;0,42;0,38;0,32;0,36;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
30/01/2009;0,38;0,53;0,37;0,36;0,35;0,30;0,43;0,38;0,32;0,35;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
02/02/2009;0,38;0,53;0,37;0,36;0,35;0,30;0,43;0,37;0,32;0,35;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
03/02/2009;0,38;0,54;0,36;0,36;0,35;0,30;0,43;0,36;0,31;0,35;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
04/02/2009;0,38;0,54;0,36;0,36;0,35;0,30;0,43;0,36;0,31;0,35;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
05/02/2009;0,38;0,55;0,37;0,36;0,35;0,30;0,42;0,37;0,31;0,35;0,40;0,45;0,44;0,45; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
06/02/2009; ;0,55;0,36;0,36;0,35;0,30;0,42;0,37;0,31;0,35;0,40;0,45;0,44;0,46;0,36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
09/02/2009; ;0,55;0,37;0,35;0,35;0,30;0,42;0,37;0,31;0,35;0,40;0,45;0,44;0,45;0,34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10/02/2009; ;0,55;0,36;0,35;0,35;0,30;0,41;0,38;0,31;0,35;0,40;0,45;0,44;0,45;0,34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
11/02/2009; ;0,55;0,36;0,35;0,35;0,30;0,41;0,38;0,31;0,35;0,40;0,45;0,44;0,45;0,34; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
12/02/2009; ;0,55;0,35;0,35;0,35;0,30;0,41;0,37;0,31;0,35;0,38;0,44;0,44;0,46;0,33; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
13/02/2009; ;0,55;0,35;0,35;0,35;0,30;0,41;0,37;0,31;0,35;0,39;0,44;0,44;0,46;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
16/02/2009; ;0,55;0,35;0,35;0,35;0,30;0,41;0,37;0,31;0,35;0,39;0,45;0,44;0,46;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
17/02/2009; ;0,55;0,35;0,35;0,35;0,29;0,40;0,37;0,31;0,35;0,39;0,45;0,45;0,48;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
18/02/2009; ;0,56;0,35;0,35;0,35;0,29;0,40;0,36;0,31;0,35;0,40;0,45;0,45;0,47;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
19/02/2009; ;0,59;0,35;0,35;0,34;0,29;0,40;0,35;0,30;0,35;0,40;0,45;0,44;0,47;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
20/02/2009; ;0,59;0,35;0,35;0,34;0,29;0,40;0,35;0,30;0,35;0,40;0,45;0,44;0,47;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
25/02/2009; ;0,59;0,35;0,35;0,34;0,29;0,40;0,35;0,30;0,35;0,40;0,43;0,44;0,48;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
26/02/2009; ;0,58;0,35;0,35;0,34;0,29;0,40;0,35;0,30;0,35;0,40;0,44;0,44;0,47;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
27/02/2009; ;0,58;0,35;0,35;0,33;0,29;0,40;0,35;0,30;0,35;0,39;0,45;0,44;0,45;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
02/03/2009; ;0,57;0,35;0,35;0,32;0,29;0,40;0,35;0,30;0,35;0,39;0,43;0,44;0,45;0,35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
